Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gcls_01,gcls_d,GCLS-D,radio,GCLS-D Item 1,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,1,gcls_d,,
gcls_02,gcls_d,,radio,GCLS-D Item 2,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,2,gcls_d,,
gcls_03,gcls_d,,radio,GCLS-D Item 3,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,3,gcls_d,,
gcls_04,gcls_d,,radio,GCLS-D Item 4,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,4,gcls_d,,
gcls_05,gcls_d,,radio,GCLS-D Item 5,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,5,gcls_d,,
gcls_06,gcls_d,,radio,GCLS-D Item 6,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,6,gcls_d,,
gcls_07,gcls_d,,radio,GCLS-D Item 7,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,7,gcls_d,,
gcls_08,gcls_d,,radio,GCLS-D Item 8,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,8,gcls_d,,
gcls_09,gcls_d,,radio,GCLS-D Item 9,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,9,gcls_d,,
gcls_10,gcls_d,,radio,GCLS-D Item 10,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,10,gcls_d,,
gcls_11,gcls_d,,radio,GCLS-D Item 11,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,11,gcls_d,,
gcls_12,gcls_d,,radio,GCLS-D Item 12,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,12,gcls_d,,
gcls_13,gcls_d,,radio,GCLS-D Item 13,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,13,gcls_d,,
gcls_14,gcls_d,,radio,GCLS-D Item 14,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,14,gcls_d,,
gcls_15,gcls_d,,radio,GCLS-D Item 15,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,15,gcls_d,,
gcls_16,gcls_d,,radio,GCLS-D Item 16,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,16,gcls_d,,
gcls_17,gcls_d,,radio,GCLS-D Item 17,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,17,gcls_d,,
gcls_18,gcls_d,,radio,GCLS-D Item 18,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,18,gcls_d,,
gcls_19,gcls_d,,radio,GCLS-D Item 19,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,19,gcls_d,,
gcls_20,gcls_d,,radio,GCLS-D Item 20,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,20,gcls_d,,
gcls_21,gcls_d,,radio,GCLS-D Item 21,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,21,gcls_d,,
gcls_22,gcls_d,,radio,GCLS-D Item 22,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,22,gcls_d,,
gcls_23,gcls_d,,radio,GCLS-D Item 23,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,23,gcls_d,,
gcls_24,gcls_d,,radio,GCLS-D Item 24,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,24,gcls_d,,
gcls_25,gcls_d,,radio,GCLS-D Item 25,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,25,gcls_d,,
gcls_26,gcls_d,,radio,GCLS-D Item 26,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,26,gcls_d,,
gcls_27,gcls_d,,radio,GCLS-D Item 27,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,27,gcls_d,,
gcls_28,gcls_d,,radio,GCLS-D Item 28,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,28,gcls_d,,
gcls_29,gcls_d,,radio,GCLS-D Item 29,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,29,gcls_d,,
gcls_30,gcls_d,,radio,GCLS-D Item 30,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,30,gcls_d,,
gcls_31,gcls_d,,radio,GCLS-D Item 31,"1, Niemals | 2, Selten | 3, Manchmal | 4, Oft | 5, Immer",,,,,,,y,,31,gcls_d,,
