group,scale,n,mean,sd,p05,p25,p50,p75,p95
AGAB_AMAB,Psychological_Functioning,176,1.1414772727272728,0.8230508260962152,0.0,0.4,1.1,1.8,2.5
AGAB_AMAB,Genitalia,176,1.4441287878787878,0.8413162015187577,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,3.1666666666666665
AGAB_AMAB,Social_Gender_Role_Recognition,176,2.413352272727273,0.6649000876999315,1.0,2.0,2.5,3.0,3.25
AGAB_AMAB,Physical_and_Emotional_Intimacy,176,2.1036931818181817,0.564016714199237,1.25,1.75,2.125,2.5,3.0
AGAB_AMAB,Chest,176,1.2258522727272727,0.7244105866509324,0.0,1.0,1.0,1.5,3.0
AGAB_AMAB,Other_Secondary_Sex_Characteristics,176,1.7708333333333335,1.2603382010208135,0.0,0.6666666666666666,1.6666666666666667,3.0,3.6666666666666665
AGAB_AMAB,Life_Satisfaction,176,1.8043831168831168,0.34875778193256285,1.2857142857142858,1.5714285714285714,1.7142857142857142,2.0,2.4285714285714284
AGAB_AMAB,Gender_Congruence,176,1.6784759358288768,0.5340005693796446,1.0441176470588236,1.2352941176470589,1.588235294117647,1.9558823529411764,2.7794117647058822
AGAB_AMAB,Mental_Wellbeing_and_Life_Satisfaction,176,1.5457251082251082,0.4499680957758952,0.9523809523809523,1.2380952380952381,1.5,1.8571428571428572,2.3333333333333335
AGAB_AMAB,TotalMean,176,1.6051136363636365,0.4271411036536733,1.0526315789473684,1.2894736842105263,1.5263157894736843,1.9210526315789473,2.375
AGAB_AFAB,Psychological_Functioning,117,1.1239316239316242,0.8335269447943494,0.0,0.4,1.0,1.7,2.539999999999998
AGAB_AFAB,Genitalia,117,1.740740740740741,0.8513693174952005,0.5,1.0,1.6666666666666667,2.5,3.0
AGAB_AFAB,Social_Gender_Role_Recognition,117,2.4380341880341883,0.6790475572653205,1.0,2.0,2.5,3.0,3.25
AGAB_AFAB,Physical_and_Emotional_Intimacy,117,2.2393162393162394,0.5357812962454223,1.25,2.0,2.25,2.5,3.049999999999997
AGAB_AFAB,Chest,117,1.2521367521367521,0.7351223555907958,0.4500000000000002,1.0,1.0,1.5,3.0
AGAB_AFAB,Other_Secondary_Sex_Characteristics,117,1.2962962962962963,1.2930537807972478,0.0,0.0,1.0,2.3333333333333335,3.6666666666666665
AGAB_AFAB,Life_Satisfaction,117,1.829059829059829,0.41870385615048217,1.1428571428571428,1.5714285714285714,1.8571428571428572,2.0,2.4285714285714284
AGAB_AFAB,Gender_Congruence,117,1.7114127702362998,0.5279438125888581,1.0470588235294118,1.3529411764705883,1.6470588235294117,2.0588235294117645,2.7176470588235286
AGAB_AFAB,Mental_Wellbeing_and_Life_Satisfaction,117,1.5714285714285714,0.44897603763192045,0.9428571428571428,1.2380952380952381,1.4761904761904763,1.8571428571428572,2.2857142857142856
AGAB_AFAB,TotalMean,117,1.6340530814215026,0.38498205398948093,1.105263157894737,1.3421052631578947,1.5789473684210527,1.894736842105263,2.3157894736842106
GenderID_Nichtbinaer,Psychological_Functioning,36,1.2833333333333334,0.8285960587472213,0.0,0.4,1.5,1.9,2.5
GenderID_Nichtbinaer,Genitalia,36,1.4675925925925926,0.987074758305188,0.3333333333333333,0.6666666666666666,1.1666666666666667,2.208333333333333,3.0833333333333335
GenderID_Nichtbinaer,Social_Gender_Role_Recognition,36,2.1944444444444446,0.7679078979165013,1.0,1.75,2.25,3.0,3.125
GenderID_Nichtbinaer,Physical_and_Emotional_Intimacy,36,2.0277777777777777,0.5599036198240404,1.1875,1.75,2.0,2.5,2.75
GenderID_Nichtbinaer,Chest,36,1.2916666666666667,0.8161319921259235,0.4375,0.9375,1.0,1.375,3.0
GenderID_Nichtbinaer,Other_Secondary_Sex_Characteristics,36,1.462962962962963,1.3411148590839383,0.0,0.3333333333333333,1.1666666666666665,2.75,3.6666666666666665
