scale,n,mean,sd,p05,p25,p50,p75,p95
Chest,293,1.2363481228668942,0.7275648831666869,0.0,1.0,1.0,1.5,3.0
Gender_Congruence,293,1.691628187111022,0.5309293677392741,1.035294117647059,1.2941176470588236,1.588235294117647,2.0,2.764705882352941
Genitalia,293,1.5625711035267351,0.8563434548135535,0.43333333333333357,0.8333333333333334,1.3333333333333333,2.3333333333333335,3.066666666666663
Life_Satisfaction,293,1.8142369575816675,0.3777397323746536,1.2285714285714289,1.5714285714285714,1.8571428571428572,2.0,2.4285714285714284
Mental_Wellbeing_and_Life_Satisfaction,293,1.5559889484804161,0.44897953882879066,0.9523809523809523,1.2380952380952381,1.4761904761904763,1.8571428571428572,2.3047619047619037
Other_Secondary_Sex_Characteristics,293,1.581342434584755,1.292438206422531,0.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,3.6666666666666665
Physical_and_Emotional_Intimacy,293,2.157849829351536,0.5559822401337554,1.25,2.0,2.25,2.5,3.0
Psychological_Functioning,293,1.1344709897610923,0.8258699087483887,0.0,0.4,1.0,1.8,2.5
Social_Gender_Role_Recognition,293,2.42320819112628,0.6695356812193255,1.0,2.0,2.5,3.0,3.25
TotalMean,293,1.6166696604993713,0.4103958259351247,1.0789473684210527,1.3157894736842106,1.5526315789473684,1.894736842105263,2.3421052631578947
